1175,子,杨花滚雪，北国风光。,(26)
1176,子,江州司马多情，青衫泪湿沾衣。,(31)
1177,子,无意之中得意，有意之中失意。,(53 54)
1178,子,小往大来，诸吉悉至。,(51 52)
1179,子,眼目不明，前生所定。
1180,子,波纹初定，微风水面劲吹来。,(53 54)
1181,子,福兮祸所倚，祸兮福所伏。,(27 28)
1182,子,灾星相侵，大小不宁。,(59 60)
1183,子,进之未安，退之不可。,(57)
1184,子,时有寒冷，坚冰未解。,(33 34)
1185,子,一叶扁舟载明月，芦花两岸水盈盈。,(33 34)
1186,子,内有明谋，幸得贵人解脱。,(41 42)
1187,子,扫净风烟光会见，无名带励栋梁材。,(41 42)
1188,子,鱼游春水，洋洋而纵。,(63 64)
1189,子,母赴瑶池，三年泣血。,(17)
1190,子,薏苡被谤，可以思瑕。,(59 60)
1191,子,舍近求远，劳而无功。,(39 40)
1192,子,人面春风，融融乐意。,(11 12)
1193,子,太白饮窗下，快乐自足意。,(69. 70)
1194,子,兄弟三人，同父不同母。
1195,子,国学名成，光耀其身。,(19 20)
1196,子,国学荣身，见于此年。,(31)
1197,子,海棠初带雨，红泪点栏杆。,(22)
1198,子,门前榆柳已成，绿映王孙衬马蹄。,(25)
1199,子,丧门相照，防有哭泣之哀。,(14)
1200,子,田宅竟相争，兄弟转成仇。
1201,子,春水乐流，付之往事。,(79 80)
1202,子,杏花深处里，折取一枝来。,(31)
1203,子,此岁相亲遇贵人，北山猿笑易成人。,(48)
1204,子,幸得贤郎成鼎志，晚来亨福乐余年。,(79)
1205,子,柳絮初晴，珠帘点雪。,(25)
1206,子,作事漫停，重云蔽日闷沉沉。,(77 78)
1207,子,双生之子，一死一生。
1208,子,衣食最艰辛，生涯猛浪度青春。,(31 32)
1209,子,福履绥之，子孙昌吉。
1210,子,和风日暖，俄然风起雷声。,(23 24)
1211,子,鬼伏床头，飞灾相触。,(29 30)
1212,子,一生维绍福且隆，安然享福保其终。
1213,子,路旁梅花，杨妃之美。,(18 19)
